City Name,State,Population,lat,lng
Copper Center,Alaska,200,61.9845,-145.3544
Anchorage,Alaska,200,61.1508,-149.1091
Glennallen,Alaska,30,62.1278,-145.7693
Valdez,Alaska,175,61.0963,-146.2596
Glennallen,Alaska,56,62.1278,-145.7693
Chalkyitsik,Alaska,76,66.6469,-143.7821
Fairbanks,Alaska,52,64.8353,-147.6533
Arctic Village,Alaska,175,68.1421,-145.4956
Manley Hot Springs,Alaska,95,65.0187,-150.6453
Circle,Alaska,110,65.7936,-144.1813
Fairbanks,Alaska,160,64.8353,-147.6533
Fairbanks,Alaska,114,64.8353,-147.6533
Fairbanks,Alaska,105,64.8353,-147.6533
Fairbanks,Alaska,1575,64.8353,-147.6533
Ester,Alaska,99,64.8646,-148.0916
Fairbanks,Alaska,310,64.8353,-147.6533
Fairbanks,Alaska,27,64.8353,-147.6533
Anchorage,Alaska,50,61.1508,-149.1091
Deadhorse,Alaska,100,70.1999496,-148.461816
Deadhorse,Alaska,260,70.1999496,-148.461816
Anchorage,Alaska,300,61.1508,-149.1091
Buckland,Alaska,600,65.9784,-161.1341
Little Diomede,Alaska,184,65.75478685,-168.92670957173902
Noatak,Alaska,485,67.5986,-163.0309
Golovin,Alaska,150,64.564,-162.9989
Deering,Alaska,160,66.0722,-162.7435
Teller,Alaska,295,65.2531,-166.342
St. Michael,Alaska,495,63.4664,-162.1324
Shungnak,Alaska,299,66.8805,-157.1499
Selawik,Alaska,846,66.5988,-159.9995
Shaktoolik,Alaska,270,64.3568,-161.1973
Shishmaref,Alaska,572,66.2372,-166.1027
Stebbins,Alaska,590,63.4705,-162.2599
White Mountain,Alaska,210,64.6812,-163.4228
Gambell,Alaska,669,63.7538,-171.6881
Kaltag,Alaska,214,64.3223,-158.7436
Ruby,Alaska,40,64.7233,-155.5005
Delta Junction,Alaska,210,64.0603,-145.7058
Delta Junction,Alaska,112,64.0603,-145.7058
Gulkana,Alaska,90,62.2155,-145.4449
Delta Jct.,Alaska,62,,
Tok,Alaska,43,63.329,-143.0379
Tetlin,Alaska,42,63.1481,-142.4947
Northway,Alaska,223,62.9709,-141.6173
Tok,Alaska,261,63.329,-143.0379
Prattville,Alabama,45444,32.4597,-86.4573
Prattville,Alabama,600,32.4597,-86.4573
Fairhope,Alabama,59484,30.5209,-87.8813
Robertsdale,Alabama,10905,30.5535,-87.7023
Spanish Fort,Alabama,10161,30.7254,-87.8597
Centre,Alabama,7050,34.1537,-85.6689
Enterprise,Alabama,48000,31.3275,-85.8463
Tuscumbia,Alabama,13395,34.7204,-87.7035
Leighton,Alabama,1203,34.6941,-87.5282
Tuscumbia,Alabama,14400,34.7204,-87.7035
Andalusia,Alabama,15114,31.3102,-86.4781
Ozark,Alabama,7779,31.4508,-85.6473
Crossville,Alabama,1998,34.2852,-85.9996
East Brewton,Alabama,2994,31.0906,-87.0556
Flomaton,Alabama,2409,31.0127,-87.2541
Gadsden,Alabama,44637,34.0086,-86.0157
Red Bay,Alabama,6048,34.4357,-88.1361
Ashford,Alabama,3816,31.1858,-85.2359
Rainsville,Alabama,35259,34.4938,-85.8436
Stevenson,Alabama,4101,34.8487,-85.8437
Sulligent,Alabama,2643,33.8912,-88.1266
Smiths Station,Alabama,31695,32.528,-85.0943
Athens,Alabama,35982,34.7843,-86.9503
Tuskegee,Alabama,6951,32.4409,-85.7131
Madison,Alabama,54114,34.7114,-86.7626
Demopolis,Alabama,10530,32.498,-87.8298
Hamilton,Alabama,10500,34.1346,-87.9755
Albertville,Alabama,29367,34.2633,-86.2108
Douglas,Alabama,16632,34.1705,-86.3224
Citronelle,Alabama,39249,31.0952,-88.2467
Grand Bay,Alabama,11100,30.4717,-88.345
Theodore,Alabama,39573,30.5408,-88.1885
Mt. Vernon,Alabama,1878,31.0851775,-88.0133325
Decatur,Alabama,30000,34.5731,-86.9905
Aliceville,Alabama,5655,33.1237,-88.1593
Carrollton,Alabama,14364,33.2619,-88.0951
Reform,Alabama,2376,33.3788,-88.0173
