City Name,State,lat,lng
Sun City,Arizona,33.6165,-112.2819
Tempe,Arizona,33.3881,-111.9319
Cave Creek,Arizona,33.8513,-111.9801
El Mirage,Arizona,33.5905,-112.3271
Buckeye,Arizona,33.4314,-112.6429
Phoenix,Arizona,33.5722,-112.0892
Cave Creek,Arizona,33.8513,-111.9801
Litchfield Park,Arizona,33.5024,-112.3588
Gila Bend,Arizona,32.9662,-112.7154
El Mirage,Arizona,33.5905,-112.3271
Tucson,Arizona,32.1541,-110.8787
Gila Bend,Arizona,32.9662,-112.7154
Peoria,Arizona,33.7843,-112.2989
Phoenix,Arizona,33.5722,-112.0892
Scottsdale,Arizona,33.6872,-111.8651
Buckeye,Arizona,33.4314,-112.6429
Phoenix,Arizona,33.5722,-112.0892
Avondale,Arizona,33.3873,-112.3235
Buckeye,Arizona,33.4314,-112.6429
Chandler,Arizona,33.2825,-111.8514
El Mirage,Arizona,33.5905,-112.3271
Gilbert,Arizona,33.31,-111.7463
Phoenix,Arizona,33.5722,-112.0892
Goodyear,Arizona,33.2614,-112.3622
Mesa,Arizona,33.4015,-111.7178
Peoria,Arizona,33.7843,-112.2989
Cave Creek,Arizona,33.8513,-111.9801
Tempe,Arizona,33.3881,-111.9319
Tortilla Flat,Arizona,33.5264365,-111.3898523
Phoenix,Arizona,33.5722,-112.0892
El Mirage,Arizona,33.5905,-112.3271
Buckeye,Arizona,33.4314,-112.6429
Sun City,Arizona,33.6165,-112.2819
Gila Bend,Arizona,32.9662,-112.7154
Wittmann,Arizona,33.7749,-112.525
Chandler,Arizona,33.2825,-111.8514
Phoenix,Arizona,33.5722,-112.0892
Luke Afb,Arizona,33.5354345,-112.37352271720567
Phoenix,Arizona,33.5722,-112.0892
Dateland,Arizona,32.8209,-113.5418
Phoenix,Arizona,33.5722,-112.0892
Palo Verde,Arizona,33.3487145,-112.6774657
Buckeye,Arizona,33.4314,-112.6429
Gila Bend,Arizona,32.9662,-112.7154
Tonopah,Arizona,33.488,-112.9308
Scottsdale,Arizona,33.6872,-111.8651
Gilbert,Arizona,33.31,-111.7463
Surprise,Arizona,33.6815,-112.4515
El Mirage,Arizona,33.5905,-112.3271
Edmonton,Arizona,32.17890689801163,-110.84406939016948
Surprise,Arizona,33.6815,-112.4515
Surprise,Arizona,33.6815,-112.4515
El Mirage,Arizona,33.5905,-112.3271
Phoenix,Arizona,33.5722,-112.0892
Buckeye,Arizona,33.4314,-112.6429
Buckeye,Arizona,33.4314,-112.6429
Phoenix,Arizona,33.5722,-112.0892
New River,Arizona,33.8835,-112.0858
Mesa,Arizona,33.4015,-111.7178
Tucson,Arizona,32.1541,-110.8787
Buckeye,Arizona,33.4314,-112.6429
Phoenix,Arizona,33.5722,-112.0892
Phoenix,Arizona,33.5722,-112.0892
El Mirage,Arizona,33.5905,-112.3271
Phoenix,Arizona,33.5722,-112.0892
Buckeye,Arizona,33.4314,-112.6429
Buckeye,Arizona,33.4314,-112.6429
Buckeye,Arizona,33.4314,-112.6429
Phoenix,Arizona,33.5722,-112.0892
Tonopah,Arizona,33.488,-112.9308
Phoenix,Arizona,33.5722,-112.0892
Buckeye,Arizona,33.4314,-112.6429
Gila Bend,Arizona,32.9662,-112.7154
Buckeye,Arizona,33.4314,-112.6429
Buckeye,Arizona,33.4314,-112.6429
Chandler,Arizona,33.2825,-111.8514
Chloride,Arizona,35.4097,-114.1972
Littlefield,Arizona,36.8659,-113.936
El Mirage,Arizona,33.5905,-112.3271
San Francisco,Arizona,,
Lake Havasu City,Arizona,34.5006,-114.3113
Payson,Arizona,34.2433,-111.3195
Bullhead City,Arizona,35.1205,-114.5461
Kingman,Arizona,35.217,-114.0105
St. Louis,Arizona,,
Mohave Valley,Arizona,34.9008,-114.5732
White Hills,Arizona,35.7242,-114.4004
Wikieup,Arizona,34.6931,-113.5995
Fort Mohave,Arizona,35.0004,-114.5748
Bullhead City,Arizona,35.1205,-114.5461
"Desert Springs,",Arizona,36.8976236,-113.905048
Valparaiso,Arizona,,
Kingman,Arizona,35.217,-114.0105
Kingman,Arizona,35.217,-114.0105
Beaver Dam,Arizona,36.907,-113.9362
Littlefield,Arizona,36.8659,-113.936
St. Louis,Arizona,,
Washington,Arizona,32.931380000000004,-112.68080800000001
Meadview,Arizona,35.9532,-114.0789
